trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.3, 'e': 0.7621180653712363}",20,0,-103.69085016979852,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
99,False,"{'a': 0.3, 'e': 0.7613639380704869}",20,0,-26.144707610046012,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
100,False,"{'a': 0.3, 'e': 0.7606029508844865}",20,0,-50.661961998619844,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
101,False,"{'a': 0.3, 'e': 0.7598351258818634}",25,0,-119.05819211162955,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.3, 'e': 0.7590604853141094}",25,0,-174.88995145980064,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
103,False,"{'a': 0.3, 'e': 0.7582790516145053}",25,0,-130.20959243402066,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
104,False,"{'a': 0.3, 'e': 0.757490847397039}",25,8,-28.823444913292352,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.7566958954553153}",25,0,-185.4305782964124,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
106,False,"{'a': 0.3, 'e': 0.755894218761458}",20,0,-31.160289681501496,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
107,False,"{'a': 0.3, 'e': 0.7550858404650037}",20,0,-115.97403857721405,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
108,False,"{'a': 0.3, 'e': 0.7542707838917889}",20,0,-72.33072188062006,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
109,False,"{'a': 0.3, 'e': 0.7534490725428289}",20,0,-74.47995737282079,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
110,False,"{'a': 0.3, 'e': 0.7526207300931886}",25,0,-104.6280586061919,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
111,False,"{'a': 0.3, 'e': 0.7517857803908472}",20,14,-0.6959285736865413,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.3, 'e': 0.750944247455554}",25,4,-76.69531937007305,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 1}",1
113,False,"{'a': 0.3, 'e': 0.7500961554776782}",20,0,-22.62810119707679,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
114,False,"{'a': 0.3, 'e': 0.7492415288170502}",30,0,-182.0827044062671,"{0: 19, 1: 0, 2: 6, 3: 3, 4: 2}",0
115,False,"{'a': 0.3, 'e': 0.748380392001797}",25,7,-30.200009197532456,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.3, 'e': 0.7475127697271694}",20,6,13.638313543021946,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.7466386868543631}",25,0,-121.70767959726389,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
118,False,"{'a': 0.3, 'e': 0.745758168409332}",20,0,-41.077313583895865,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
119,False,"{'a': 0.3, 'e': 0.7448712395815953}",20,0,-78.37955499083391,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
120,False,"{'a': 0.3, 'e': 0.7439779257230381}",30,6,-32.12562584711393,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.3, 'e': 0.7430782523467039}",25,0,-62.1249126329993,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
122,False,"{'a': 0.3, 'e': 0.7421722451255819}",20,0,-128.63424298314214,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
123,False,"{'a': 0.3, 'e': 0.7412599298913876}",20,0,-88.68489407315275,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
124,False,"{'a': 0.3, 'e': 0.740341332633336}",30,0,-17.74241685244708,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.3, 'e': 0.7394164794969097}",20,0,-182.42032839018555,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
126,False,"{'a': 0.3, 'e': 0.7384853967826194}",25,0,-119.32477793496162,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
127,False,"{'a': 0.3, 'e': 0.7375481109447594}",20,15,8.530764101049066,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.7366046485901564}",20,0,-57.302841398590566,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
129,False,"{'a': 0.3, 'e': 0.7356550364769121}",35,2,-190.2330776940251,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 3}",1
130,False,"{'a': 0.3, 'e': 0.7346993015131401}",25,0,-119.45763386812384,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
131,False,"{'a': 0.3, 'e': 0.7337374707556971}",20,0,-43.6484921349941,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.3, 'e': 0.7327695714089076}",20,0,-104.85526440996226,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
133,False,"{'a': 0.3, 'e': 0.7317956308232842}",25,0,-98.66288517962668,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
134,False,"{'a': 0.3, 'e': 0.7308156764942407}",20,0,-100.25186536140434,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
135,False,"{'a': 0.3, 'e': 0.7298297360608007}",20,2,-41.943144616378355,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.7288378373043003}",20,14,9.207510844684156,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.727840008147086}",20,8,-44.59586446247701,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.726836276651207}",20,0,-101.14274578771281,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
139,False,"{'a': 0.3, 'e': 0.7258266710171013}",30,0,-109.57769627664932,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
140,False,"{'a': 0.3, 'e': 0.7248112195822786}",20,5,-93.34848689310027,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
141,False,"{'a': 0.3, 'e': 0.7237899508199969}",20,0,-72.17938151583695,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
142,False,"{'a': 0.3, 'e': 0.7227628933379342}",35,0,-104.18862875867309,"{0: 23, 1: 7, 2: 2, 3: 2, 4: 1}",0
143,False,"{'a': 0.3, 'e': 0.721730075876856}",20,0,-59.73401364225402,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
144,False,"{'a': 0.3, 'e': 0.7206915273092773}",20,0,-32.79376584940248,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
145,False,"{'a': 0.3, 'e': 0.7196472766381204}",30,14,-37.90837937489471,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.7185973529953682}",25,2,-39.6912110417547,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.3, 'e': 0.7175417856407121}",25,0,-64.68767539416953,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
148,False,"{'a': 0.3, 'e': 0.7164806039601971}",25,0,-52.30958143698878,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.3, 'e': 0.7154138374648605}",20,0,-102.10483204994635,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
150,False,"{'a': 0.3, 'e': 0.7143415157893687}",30,7,-53.967449963474955,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 0}",1
151,False,"{'a': 0.3, 'e': 0.7132636686906476}",25,18,2.6635019758798966,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
